component,explained_variance_ratio,cumulative_explained_variance
56,0.0036758302776833105,0.5792951964874182
57,0.003613401814231703,0.58290859830165
58,0.003559471030316422,0.5864680693319664
59,0.0035169363383729534,0.5899850056703393
60,0.003478420634020419,0.5934634263043597
61,0.0034187666961516135,0.5968821930005113
62,0.003403581856384376,0.6002857748568956
63,0.00338591062974072,0.6036716854866363
64,0.0033495344332824546,0.6070212199199188
65,0.00331214135501136,0.6103333612749301
66,0.0032964450500025696,0.6136298063249327
67,0.0032612438190649904,0.6168910501439977
68,0.0032003449483184714,0.6200913950923161
69,0.0031565162980499305,0.6232479113903661
70,0.0031263444241812414,0.6263742558145473
71,0.003067494394983266,0.6294417502095305
72,0.003043450844432346,0.6324852010539629
73,0.003031783858584195,0.635516984912547
74,0.0030208275687876565,0.6385378124813347
75,0.002958614241613537,0.6414964267229483
76,0.0029375945337192485,0.6444340212566675
77,0.002933384537223233,0.6473674057938907
78,0.002882117549069682,0.6502495233429604
79,0.0028409682766200027,0.6530904916195803
80,0.0028230086399381564,0.6559135002595184
81,0.00279809287225844,0.6587115931317769
82,0.0027926574970131663,0.66150425062879
83,0.0027870679249209487,0.6642913185537109
84,0.002749876940335856,0.6670411954940468
85,0.002709676253453634,0.6697508717475005
86,0.0026843359095526202,0.6724352076570531
87,0.002662528635191309,0.6750977362922445
88,0.0026581641200759997,0.6777559004123205
89,0.002627689167522496,0.680383589579843
90,0.0025971506992089953,0.682980740279052
91,0.002576611876043135,0.6855573521550952
92,0.0025622483511887474,0.688119600506284
93,0.002512519149213154,0.6906321196554971
94,0.0025055942337423157,0.6931377138892394
95,0.0024831073269240976,0.6956208212161635
96,0.0024496634786344523,0.6980704846947979
97,0.0024414579704686557,0.7005119426652666
98,0.0024192716214054854,0.7029312142866722
99,0.002396116130434995,0.7053273304171072
100,0.0023677842754179727,0.7076951146925251
101,0.0023575808399198908,0.710052695532445
102,0.002319417190843101,0.712372112723288
103,0.0023063700415524974,0.7146784827648406
104,0.0022872791398542954,0.7169657619046949
105,0.0022813168878827415,0.7192470787925775
106,0.0022541730402109265,0.7215012518327885
107,0.002246050628954444,0.7237473024617429
108,0.0022311923936780193,0.7259784948554209
109,0.0022192073138977385,0.7281977021693186
110,0.0022119199218708476,0.7304096220911894
111,0.002208523654432054,0.7326181457456215
112,0.002198313246678219,0.7348164589922996
113,0.002195054113389445,0.7370115131056891
114,0.00218840069394609,0.7391999137996352
115,0.002183741129929864,0.7413836549295652
116,0.002181325009940309,0.7435649799395054
117,0.002175297906667132,0.7457402778461726
118,0.002170723469284535,0.7479110013154571
119,0.002168829029542824,0.7500798303449999
120,0.0021636950365000835,0.7522435253815
121,0.002161464788453706,0.7544049901699537
122,0.0021580591797644034,0.7565630493497181
123,0.002156088388655311,0.7587191377383734
124,0.0021552466371698767,0.7608743843755433
125,0.002152986810024575,0.763027371185568
126,0.0021523658236379966,0.7651797370092059
127,0.002152206346851877,0.7673319433560578
128,0.0021505447873891186,0.7694824881434469
129,0.002149795635315851,0.7716322837787627
130,0.002146873954286087,0.7737791577330487
131,0.002138741191771811,0.7759178989248205
132,0.0021349076148377217,0.7780528065396582
133,0.0021283812723415867,0.7801811878119999
134,0.0021169617964429347,0.7822981496084428
135,0.0020948635899939094,0.7843930131984367
136,0.0020749686062070433,0.7864679818046437
137,0.002070083333142439,0.7885380651377861
